Year,Month,County_City,Sale_Count
2016 , Apr,Grayson County,11
2016 , Apr,Greene County,22
2016 , Apr,Greensville County,0
2016 , Apr,Halifax County,15
2016 , Apr,Hampton City,161
2016 , Apr,Hanover County,168
2016 , Apr,Harrisonburg City,33
2016 , Apr,Henrico County,425
2016 , Apr,Henry County,25
2016 , Apr,Highland County,1
2016 , Apr,Hopewell City,18
2016 , Apr,Isle of Wight County,43
2016 , Apr,James City County,132
2016 , Apr,King and Queen County,1
2016 , Apr,King George County,26
2016 , Apr,King William County,24
2016 , Apr,Lancaster County,13
2016 , Apr,Lee County,0
2016 , Apr,Lexington City,3
2016 , Apr,Loudoun County,612
2016 , Apr,Louisa County,40
2016 , Apr,Lunenburg County,7
2016 , Apr,Lynchburg City,77
2016 , Apr,Madison County,15
2016 , Apr,Manassas City,57
2016 , Apr,Manassas Park City,17
2016 , Apr,Martinsville City,10
2016 , Apr,Mathews County,11
2016 , Apr,Mecklenburg County,9
2016 , Apr,Middlesex County,12
2016 , Apr,Montgomery County,87
2016 , Apr,Nelson County,18
2016 , Apr,New Kent County,35
2016 , Apr,Newport News City,185
2016 , Apr,Norfolk City,261
2016 , Apr,Northampton County,16
2016 , Apr,Northumberland County,19
2016 , Apr,Norton City,0
2016 , Apr,Nottoway County,7
2016 , Apr,Orange County,47
2016 , Apr,Page County,14
2016 , Apr,Patrick County,10
2016 , Apr,Petersburg City,28
2016 , Apr,Pittsylvania County,36
2016 , Apr,Poquoson City,16
2016 , Apr,Portsmouth City,140
2016 , Apr,Powhatan County,37
2016 , Apr,Prince Edward County,19
2016 , Apr,Prince George County,24
2016 , Apr,Prince William County,668
2016 , Apr,Pulaski County,30
2016 , Apr,Radford City,6
2016 , Apr,Rappahannock County,4
2016 , Apr,Richmond City,253
2016 , Apr,Richmond County,3
2016 , Apr,Roanoke City,97
2016 , Apr,Roanoke County,137
2016 , Apr,Rockbridge County,12
2016 , Apr,Rockingham County,71
2016 , Apr,Russell County,5
2016 , Apr,Salem City,32
2016 , Apr,Scott County,1
2016 , Apr,Shenandoah County,56
2016 , Apr,Smyth County,13
2016 , Apr,Southampton County,5
2016 , Apr,Spotsylvania County,196
2016 , Apr,Stafford County,213
2016 , Apr,Staunton City,37
2016 , Apr,Suffolk City,133
2016 , Apr,Surry County,3
2016 , Apr,Sussex County,10
2016 , Apr,Tazewell County,16
2016 , Apr,Virginia Beach City,668
2016 , Apr,Warren County,43
2016 , Apr,Washington County,40
2016 , Apr,Waynesboro City,19
2016 , Apr,Westmoreland County,25
2016 , Apr,Williamsburg City,13
2016 , Apr,Winchester City,23
2016 , Apr,Wise County,2
2016 , Apr,Wythe County,18
2016 , Apr,York County,89
2016 , May,Accomack County,30
2016 , May,Albemarle County,196
2016 , May,Alexandria City,290
2016 , May,Alleghany County,8
2016 , May,Amelia County,13
2016 , May,Amherst County,28
2016 , May,Appomattox County,13
2016 , May,Arlington County,303
2016 , May,Augusta County,82
2016 , May,Bath County,3
2016 , May,Bedford County,125
2016 , May,Bland County,6
2016 , May,Botetourt County,50
2016 , May,Bristol City,7
2016 , May,Brunswick County,3
2016 , May,Buchanan County,2
2016 , May,Buckingham County,6
2016 , May,Buena Vista City,4
2016 , May,Campbell County,53
2016 , May,Caroline County,32
2016 , May,Carroll County,22
2016 , May,Charles City County,1
2016 , May,Charlotte County,3
2016 , May,Charlottesville City,62
2016 , May,Chesapeake City,399
2016 , May,Chesterfield County,598
2016 , May,Clarke County,19
2016 , May,Colonial Heights City,30
2016 , May,Covington City,1
2016 , May,Craig County,4
2016 , May,Culpeper County,69
2016 , May,Cumberland County,10
2016 , May,Danville City,40
2016 , May,Dickenson County,1
2016 , May,Dinwiddie County,25
2016 , May,Emporia City,1
2016 , May,Essex County,13
2016 , May,Fairfax City,29
2016 , May,Fairfax County,1732
2016 , May,Falls Church City,21
2016 , May,Fauquier County,111
2016 , May,Floyd County,14
2016 , May,Fluvanna County,50
2016 , May,Franklin City,8
2016 , May,Franklin County,74
2016 , May,Frederick County,140
2016 , May,Fredericksburg City,39
2016 , May,Galax City,7
2016 , May,Giles County,9
2016 , May,Gloucester County,49
2016 , May,Goochland County,35
2016 , May,Grayson County,4
2016 , May,Greene County,33
2016 , May,Greensville County,0
2016 , May,Halifax County,8
2016 , May,Hampton City,175
2016 , May,Hanover County,155
2016 , May,Harrisonburg City,46
2016 , May,Henrico County,458
2016 , May,Henry County,31
2016 , May,Highland County,2
2016 , May,Hopewell City,31
2016 , May,Isle of Wight County,58
2016 , May,James City County,150
2016 , May,King and Queen County,4
2016 , May,King George County,33
2016 , May,King William County,25
2016 , May,Lancaster County,14
2016 , May,Lee County,0
2016 , May,Lexington City,6
2016 , May,Loudoun County,731
2016 , May,Louisa County,57
2016 , May,Lunenburg County,12
2016 , May,Lynchburg City,122
2016 , May,Madison County,23
2016 , May,Manassas City,67
2016 , May,Manassas Park City,19
2016 , May,Martinsville City,8
2016 , May,Mathews County,13
2016 , May,Mecklenburg County,15
2016 , May,Middlesex County,25
2016 , May,Montgomery County,113
2016 , May,Nelson County,23
2016 , May,New Kent County,35
2016 , May,Newport News City,187
2016 , May,Norfolk City,260
2016 , May,Northampton County,12
2016 , May,Northumberland County,21
2016 , May,Norton City,0
2016 , May,Nottoway County,10
2016 , May,Orange County,53
2016 , May,Page County,25
2016 , May,Patrick County,17
2016 , May,Petersburg City,23
2016 , May,Pittsylvania County,21
2016 , May,Poquoson City,17
2016 , May,Portsmouth City,151
2016 , May,Powhatan County,37
2016 , May,Prince Edward County,25
2016 , May,Prince George County,33
2016 , May,Prince William County,784
2016 , May,Pulaski County,32
2016 , May,Radford City,10
2016 , May,Rappahannock County,5
2016 , May,Richmond City,280
2016 , May,Richmond County,1
2016 , May,Roanoke City,138
2016 , May,Roanoke County,169
2016 , May,Rockbridge County,24
2016 , May,Rockingham County,88
2016 , May,Russell County,9
2016 , May,Salem City,27
2016 , May,Scott County,2
2016 , May,Shenandoah County,58
2016 , May,Smyth County,11
2016 , May,Southampton County,19
2016 , May,Spotsylvania County,209
2016 , May,Stafford County,234
2016 , May,Staunton City,31
2016 , May,Suffolk City,163
2016 , May,Surry County,4
2016 , May,Sussex County,6
2016 , May,Tazewell County,12
2016 , May,Virginia Beach City,774
2016 , May,Warren County,66
2016 , May,Washington County,37
2016 , May,Waynesboro City,37
2016 , May,Westmoreland County,34
2016 , May,Williamsburg City,13
2016 , May,Winchester City,32
2016 , May,Wise County,0
2016 , May,Wythe County,25
2016 , May,York County,78
2016 , Jun,Accomack County,45
2016 , Jun,Albemarle County,251
2016 , Jun,Alexandria City,284
2016 , Jun,Alleghany County,5
2016 , Jun,Amelia County,11
2016 , Jun,Amherst County,28
2016 , Jun,Appomattox County,15
2016 , Jun,Arlington County,347
2016 , Jun,Augusta County,72
2016 , Jun,Bath County,4
2016 , Jun,Bedford County,130
2016 , Jun,Bland County,3
2016 , Jun,Botetourt County,44
2016 , Jun,Bristol City,6
2016 , Jun,Brunswick County,0
2016 , Jun,Buchanan County,2
2016 , Jun,Buckingham County,11
2016 , Jun,Buena Vista City,5
2016 , Jun,Campbell County,68
2016 , Jun,Caroline County,72
2016 , Jun,Carroll County,33
2016 , Jun,Charles City County,6
2016 , Jun,Charlotte County,4
2016 , Jun,Charlottesville City,106
2016 , Jun,Chesapeake City,484
2016 , Jun,Chesterfield County,745
2016 , Jun,Clarke County,19
2016 , Jun,Colonial Heights City,23
2016 , Jun,Covington City,1
2016 , Jun,Craig County,2
2016 , Jun,Culpeper County,94
2016 , Jun,Cumberland County,8
2016 , Jun,Danville City,55
2016 , Jun,Dickenson County,0
2016 , Jun,Dinwiddie County,30
2016 , Jun,Emporia City,0
2016 , Jun,Essex County,10
2016 , Jun,Fairfax City,37
2016 , Jun,Fairfax County,1909
2016 , Jun,Falls Church City,26
2016 , Jun,Fauquier County,144
2016 , Jun,Floyd County,10
2016 , Jun,Fluvanna County,47
2016 , Jun,Franklin City,4
2016 , Jun,Franklin County,66
2016 , Jun,Frederick County,139
2016 , Jun,Fredericksburg City,35
2016 , Jun,Galax City,5
2016 , Jun,Giles County,14
2016 , Jun,Gloucester County,67
2016 , Jun,Goochland County,31
2016 , Jun,Grayson County,10
2016 , Jun,Greene County,39
2016 , Jun,Greensville County,0
2016 , Jun,Halifax County,19
2016 , Jun,Hampton City,168
2016 , Jun,Hanover County,188
2016 , Jun,Harrisonburg City,45
2016 , Jun,Henrico County,552
2016 , Jun,Henry County,39
2016 , Jun,Highland County,0
2016 , Jun,Hopewell City,17
2016 , Jun,Isle of Wight County,65
2016 , Jun,James City County,248
2016 , Jun,King and Queen County,9
2016 , Jun,King George County,41
2016 , Jun,King William County,29
2016 , Jun,Lancaster County,20
2016 , Jun,Lee County,2
2016 , Jun,Lexington City,14
2016 , Jun,Loudoun County,822
2016 , Jun,Louisa County,63
2016 , Jun,Lunenburg County,5
2016 , Jun,Lynchburg City,100
2016 , Jun,Madison County,23
2016 , Jun,Manassas City,91
2016 , Jun,Manassas Park City,33
2016 , Jun,Martinsville City,11
2016 , Jun,Mathews County,12
2016 , Jun,Mecklenburg County,7
2016 , Jun,Middlesex County,13
2016 , Jun,Montgomery County,144
2016 , Jun,Nelson County,23
2016 , Jun,New Kent County,32
2016 , Jun,Newport News City,205
2016 , Jun,Norfolk City,265
2016 , Jun,Northampton County,17
2016 , Jun,Northumberland County,23
2016 , Jun,Norton City,0
2016 , Jun,Nottoway County,8
2016 , Jun,Orange County,64
2016 , Jun,Page County,20
2016 , Jun,Patrick County,11
2016 , Jun,Petersburg City,23
2016 , Jun,Pittsylvania County,11
2016 , Jun,Poquoson City,20
2016 , Jun,Portsmouth City,160
2016 , Jun,Powhatan County,48
2016 , Jun,Prince Edward County,19
2016 , Jun,Prince George County,45
2016 , Jun,Prince William County,845
2016 , Jun,Pulaski County,40
2016 , Jun,Radford City,17
2016 , Jun,Rappahannock County,2
2016 , Jun,Richmond City,328
2016 , Jun,Richmond County,3
2016 , Jun,Roanoke City,129
2016 , Jun,Roanoke County,160
2016 , Jun,Rockbridge County,33
2016 , Jun,Rockingham County,111
2016 , Jun,Russell County,11
2016 , Jun,Salem City,26
2016 , Jun,Scott County,1
2016 , Jun,Shenandoah County,81
2016 , Jun,Smyth County,12
2016 , Jun,Southampton County,14
2016 , Jun,Spotsylvania County,251
2016 , Jun,Stafford County,283
2016 , Jun,Staunton City,48
2016 , Jun,Suffolk City,176
2016 , Jun,Surry County,3
2016 , Jun,Sussex County,8
2016 , Jun,Tazewell County,12
2016 , Jun,Virginia Beach City,768
2016 , Jun,Warren County,80
2016 , Jun,Washington County,46
2016 , Jun,Waynesboro City,42
2016 , Jun,Westmoreland County,28
2016 , Jun,Williamsburg City,27
2016 , Jun,Winchester City,36
2016 , Jun,Wise County,0
2016 , Jun,Wythe County,25
2016 , Jun,York County,120
2016 , Jul,Accomack County,26
2016 , Jul,Albemarle County,179
2016 , Jul,Alexandria City,261
2016 , Jul,Alleghany County,7
2016 , Jul,Amelia County,14
2016 , Jul,Amherst County,28
2016 , Jul,Appomattox County,13
2016 , Jul,Arlington County,287
2016 , Jul,Augusta County,75
2016 , Jul,Bath County,3
2016 , Jul,Bedford County,114
2016 , Jul,Bland County,2
2016 , Jul,Botetourt County,48
2016 , Jul,Bristol City,3
2016 , Jul,Brunswick County,1
2016 , Jul,Buchanan County,2
2016 , Jul,Buckingham County,11
2016 , Jul,Buena Vista City,9
2016 , Jul,Campbell County,59
2016 , Jul,Caroline County,49
2016 , Jul,Carroll County,23
2016 , Jul,Charles City County,5
2016 , Jul,Charlotte County,7
2016 , Jul,Charlottesville City,65
2016 , Jul,Chesapeake City,394
2016 , Jul,Chesterfield County,606
2016 , Jul,Clarke County,21
2016 , Jul,Colonial Heights City,30
2016 , Jul,Covington City,0
2016 , Jul,Craig County,3
2016 , Jul,Culpeper County,64
2016 , Jul,Cumberland County,6
2016 , Jul,Danville City,47
2016 , Jul,Dickenson County,1
2016 , Jul,Dinwiddie County,30
2016 , Jul,Emporia City,0
2016 , Jul,Essex County,10
2016 , Jul,Fairfax City,35
2016 , Jul,Fairfax County,1661
2016 , Jul,Falls Church City,19
2016 , Jul,Fauquier County,106
2016 , Jul,Floyd County,10
2016 , Jul,Fluvanna County,53
2016 , Jul,Franklin City,10
2016 , Jul,Franklin County,68
2016 , Jul,Frederick County,139
2016 , Jul,Fredericksburg City,30
2016 , Jul,Galax City,9
2016 , Jul,Giles County,15
2016 , Jul,Gloucester County,63
2016 , Jul,Goochland County,30
2016 , Jul,Grayson County,9
2016 , Jul,Greene County,20
2016 , Jul,Greensville County,0
2016 , Jul,Halifax County,19
2016 , Jul,Hampton City,156
2016 , Jul,Hanover County,168
2016 , Jul,Harrisonburg City,43
2016 , Jul,Henrico County,481
2016 , Jul,Henry County,27
2016 , Jul,Highland County,0
2016 , Jul,Hopewell City,25
2016 , Jul,Isle of Wight County,52
2016 , Jul,James City County,158
2016 , Jul,King and Queen County,6
