Year,Month,State,Job_Status,Job_Value
2015,Jun,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",142681
2015,Jul,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",141729
2015,Aug,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",141921
2015,Sep,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",142479
2015,Oct,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",143627
2015,Nov,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",144048
2015,Dec,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",144046
2016,Jan,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",141072
2016,Feb,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",141903
2016,Mar,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",142798
2016,Apr,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",143892
2016,May,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",144541
2016,Jun,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",145205
2016,Jul,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",144232
2016,Aug,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",144485
2016,Sep,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",145151
2016,Oct,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",146033
2016,Nov,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",146465
2016,Dec,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",146253
2017,Jan,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",143377
2017,Feb,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",144406
2017,Mar,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",145062
2017,Apr,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",146086
2017,May,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",146925
2017,Jun,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",147568
2017,Jul,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",146465
2017,Aug,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",146782
2017,Sep,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",147170
2017,Oct,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",148183
2017,Nov,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",148757
2017,Dec,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",148510
2018,Jan,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",145412
2018,Feb,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",146649
2018,Mar,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",147352
2018,Apr,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",148329
2018,May,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",149264
2018,Jun,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",149930
2018,Jul,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",148767
2018,Aug,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",149236
2018,Sep,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",149545
2018,Oct,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",150553
2018,Nov,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",151032
2018,Dec,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",150831
2019,Jan,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",147878
2019,Feb,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",148683
2019,Mar,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",149360
2019,Apr,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",150422
2019,May,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",151093
2019,Jun,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",151714
2019,Jul,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",150658
2019,Aug,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",151094
2019,Sep,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",151510
2019,Oct,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",152500
2019,Nov,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",153095
2019,Dec,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",152845
2020,Jan,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",150056
2020,Feb,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",150967
2020,Mar,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",149952
2020,Apr,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",130253
2020,May,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",133422
2020,Jun,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",138507
2020,Jul,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",139105
2020,Aug,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",140727
2020,Sep,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",141957
2020,Oct,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",143564
2020,Nov,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",144116
2020,Dec,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",143604
2021,Jan,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",140974
2021,Feb,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",142129
2021,Mar,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",143308
2021,Apr,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",144402
2021,May,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",145392
2021,Jun,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",146626
2021,Jul,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",146619
2021,Aug,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",147159
2021,Sep,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",147917
2021,Oct,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",149605
2021,Nov,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",150543
2021,Dec,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",150740
2022,Jan,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",147932
2022,Feb,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",149606
2022,Mar,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",150411
2022,Apr,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",151449
2022,May,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",152291
2022,June,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",153217
2022,July,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",152875
2022,Aug,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",153285
2022,Sep,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",153809
2022,Oct,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",155041
2022,Nov,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",155642
2022,Dec,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",155344
2023,Jan,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",152688
2023,Feb,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",153817
