Year,Month,US,VA
2009,Jan,7.8,5.7
2009,Feb,8.3,6.1
2009,Mar,8.7,6.4
2009,Apr,9,6.6
2009,May,9.4,6.8
2009,Jun,9.5,6.9
2009,Jul,9.5,7
2009,Aug,9.6,7.1
2009,Sep,9.8,7.2
2009,Oct,10,7.3
2009,Nov,9.9,7.4
2009,Dec,9.9,7.5
2010,Jan,9.8,7.6
2010,Feb,9.8,7.6
2010,Mar,9.9,7.6
2010,Apr,9.9,7.5
2010,May,9.6,7.4
2010,Jun,9.4,7.3
2010,Jul,9.4,7.2
2010,Aug,9.5,7.2
2010,Sep,9.5,7.1
2010,Oct,9.4,7.1
2010,Nov,9.8,7
2010,Dec,9.3,6.9
2011,Jan,9.1,6.7
2011,Feb,9,6.6
2011,Mar,9,6.6
2011,Apr,9.1,6.5
2011,May,9,6.5
2011,Jun,9.1,6.6
2011,Jul,9,6.6
2011,Aug,9,6.6
2011,Sep,9,6.6
2011,Oct,8.8,6.5
2011,Nov,8.6,6.4
2011,Dec,8.5,6.3
2012,Jan,8.3,6.2
2012,Feb,8.3,6.2
2012,Mar,8.2,6.1
2012,Apr,8.2,6.1
2012,May,8.2,6.1
2012,Jun,8.2,6
2012,Jul,8.2,5.9
2012,Aug,8.1,5.9
2012,Sep,7.8,5.8
2012,Oct,7.8,5.7
2012,Nov,7.7,5.7
2012,Dec,7.9,5.7
2013,Jan,8,5.6
2013,Feb,7.7,5.6
2013,Mar,7.5,5.6
2013,Apr,7.6,5.6
2013,May,7.5,5.6
2013,Jun,7.5,5.6
2013,Jul,7.3,5.6
2013,Aug,7.2,5.6
2013,Sep,7.2,5.5
2013,Oct,7.2,5.5
2013,Nov,6.9,5.4
2013,Dec,6.7,5.4
2014,Jan,6.6,5.3
2014,Feb,6.7,5.3
2014,Mar,6.7,5.3
2014,Apr,6.2,5.3
2014,May,6.3,5.2
2014,Jun,6.1,5.2
2014,Jul,6.2,5.1
2014,Aug,6.1,5.1
2014,Sep,5.9,5
2014,Oct,5.7,4.9
2014,Nov,5.8,4.9
2014,Dec,5.6,4.8
2015,Jan,5.7,4.8
2015,Feb,5.5,4.7
2015,Mar,5.4,4.7
2015,Apr,5.4,4.6
2015,May,5.6,4.5
2015,Jun,5.3,4.4
2015,Jul,5.2,4.3
2015,Aug,5.1,4.2
2015,Sep,5,4.1
2015,Oct,5,4.1
2015,Nov,5.1,4
2015,Dec,5,4
2016,Jan,4.8,4
2016,Feb,4.9,3.9
2016,Mar,5,3.9
2016,Apr,5.1,3.9
2016,May,4.8,3.9
2016,Jun,4.9,4
2016,Jul,4.8,4
2016,Aug,4.9,4.1
2016,Sep,5,4.1
2016,Oct,4.9,4.1
2016,Nov,4.7,4.1
2016,Dec,4.7,4
2017,Jan,4.7,4
2017,Feb,4.6,3.9
2017,Mar,4.4,3.9
2017,Apr,4.5,3.8
2017,May,4.4,3.8
2017,Jun,4.3,3.7
2017,Jul,4.3,3.6
2017,Aug,4.4,3.6
2017,Sep,4.2,3.5
2017,Oct,4.1,3.5
2017,Nov,4.2,3.4
2017,Dec,4.1,3.3
2018,Jan,4,3.2
2018,Feb,4.1,3.1
2018,Mar,4,3.1
2018,Apr,4,3
2018,May,3.8,3
2018,Jun,4,2.9
2018,Jul,3.8,2.9
2018,Aug,3.8,2.8
2018,Sep,3.7,2.8
2018,Oct,3.8,2.8
2018,Nov,3.8,2.9
2018,Dec,3.9,2.9
2019,Jan,4,2.9
2019,Feb,3.8,2.9
2019,Mar,3.8,2.8
2019,Apr,3.7,2.8
2019,May,3.7,2.7
2019,Jun,3.6,2.6
2019,Jul,3.6,2.6
2019,Aug,3.7,2.6
2019,Sep,3.5,2.6
2019,Oct,3.6,2.5
2019,Nov,3.6,2.5
2019,Dec,3.6,2.5
2020,Jan,3.5,2.5
2020,Feb,3.5,2.5
2020,Mar,4.4,2.6
2020,Apr,14.8,11.3
2020,May,13.3,8.5
2020,Jun,11.1,8.8
2020,Jul,10.2,7.9
2020,Aug,8.4,7
2020,Sep,7.8,6.6
2020,Oct,6.9,6.1
2020,Nov,6.7,5.8
2020,Dec,6.7,5.6
2021,Jan,6.3,5.3
2021,Feb,6.2,5.2
2021,Mar,6,5.1
2021,Apr,6.1,4.7
2021,May,5.8,4.5
2021,Jun,5.9,4.3
2021,Jul,5.4,4.2
2021,Aug,5.2,3.6
2021,Sep,4.8,3.4
2021,Oct,4.6,3.4
2021,Nov,4.2,3.3
2021,Dec,3.9,3.3
2022,Jan,4,3.3
2022,Feb,3.8,3.2
2022,Mar,3.6,3
2022,Apr,3.6,3
2022,May,3.6,3
2022,June,3.6,2.5
2022,July,3.5,2.6
2022,Aug,3.7,2.8
2022,Sep,3.5,3
2022,Oct,3.7,3.1
2022,Nov,3.6,3.2
2022,Dec,3.5,3.1
2023,Jan,3.4,3.2
2023,Feb,3.6,3.2
2023,Mar,3.5,3.2
2023,Apr,3.4,3.1
2023,May,3.7,2.9
2023,June,3.6,2.7
2023,July,3.5,2.5
2023,August,3.8,2.5
2023,September,3.8,2.5
2023,October,3.9,2.7
2023,Nov,3.7,2.9
2023,Dec,3.7,3
2024,Jan,3.7,N/A
